titulo,preco,disponivel,nota,upc,categoria
Scarlet (The Lunar Chronicles #2),"14,57",3,4,510832818edb6fbc,Young Adult
Legend (Legend #1),"43,69",3,4,0ce8075fab4a2b5b,Young Adult
Lady Renegades (Rebel Belle #3),"53,04",3,5,16e843e6b853cc2f,Young Adult
Golden (Heart of Dread #3),"42,21",3,4,984b3b6e7479b571,Young Adult
Cinder (The Lunar Chronicles #1),"26,09",3,1,7e9579921e5407cb,Young Adult
Boy Meets Boy,"21,12",3,3,8e0bc2fe4e7d35b5,Young Adult
Annie on My Mind,"36,83",3,5,7bf87402413c27ff,Young Adult
New Moon (Twilight #2),"12,86",2,4,6fa3ea52c8e31e06,Young Adult
Girl Online On Tour (Girl Online #2),"53,47",2,1,97b8f130d32e9f4e,Young Adult
The Haters,"27,89",1,5,fff8a057a40c4a60,Young Adult
The Art of Not Breathing,"40,83",1,4,5bc1fbccfbf2355c,Young Adult
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","30,52",19,3,5674a18a29a43ced,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","56,41",16,1,142d767a56a9254d,Food and Drink
My Paris Kitchen: Recipes and Stories,"33,37",16,2,784bc2279baa878d,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","14,02",16,4,72f9d5be3472d34e,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes","40,11",16,1,7b75cc7f223791f4,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,"37,34",15,5,e4c7f3487d17fd42,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,"37,60",15,2,e28e330cbdf01126,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,"41,25",15,1,96a38e7c813d8f1d,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals","42,16",15,3,46c1530d7546ea6d,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,"28,77",14,3,ddc8340dabc8641b,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes","19,55",14,1,245e6bf08b8d2955,Food and Drink
Barefoot Contessa Back to Basics,"28,01",14,1,999912e63a3262ae,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,"50,62",14,5,0e0da9192a025efc,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,"11,53",13,2,8bbd7df8a324f31d,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,"20,10",12,5,76319fe9d8b465a3,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More","38,77",12,1,a4eef523118805ef,Food and Drink
Cravings: Recipes for What You Want to Eat,"20,50",11,3,2587c54f5530dafc,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York","12,34",9,4,65cfc9f242c2984a,Food and Drink
32 Yolks,"53,63",8,2,b1a227b7609ff263,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories","11,38",7,5,924438fc6cbec836,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),"46,01",7,4,2a9fcb3382d351c8,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,"28,25",7,2,eff5710404e2ff78,Food and Drink
The Barefoot Contessa Cookbook,"59,92",6,5,6478ccb4416e6a5d,Food and Drink
Better Homes and Gardens New Cook Book,"39,61",6,3,faf841f81c52638b,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,"11,05",5,5,f701fae56b645ef7,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,"24,91",5,5,12a90b90283b2e6d,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,"13,66",3,2,4672d10b9b1e7a05,Food and Drink
The Smitten Kitchen Cookbook,"23,59",3,1,742702d662a71410,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution","34,32",3,3,311634df10651e05,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,"33,14",3,3,6c4d17a46cac8787,Food and Drink
Redeeming Love,"20,47",15,5,b53db2271c9624f7,Christian Fiction
Close to You,"49,46",15,4,a57b1dcbd6849222,Christian Fiction
Shadows of the Past (Logan Point #1),"39,67",8,5,bee6e93e9976f4fa,Christian Fiction
Like Never Before (Walker Family #2),"28,77",7,2,b6670507e85b30e6,Christian Fiction
Counted With the Stars (Out from Egypt #1),"17,97",7,5,4807043b8218e9ce,Christian Fiction
If I Run (If I Run #1),"49,97",3,4,61569d12d4ae7161,Christian Fiction
Libertarianism for Beginners,"51,33",19,2,a18a4f574854aced,Politics
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,"52,65",14,4,2b5054a4192e9b06,Politics
Equal Is Unfair: America's Misguided Fight Against Income Inequality,"56,86",12,1,3968e3fbf4695d7c,Politics
